CATEGORY,NAME,No. of BEDS,organisation_name,STATE,LOCATION,NUMBER,Verified,Current Status,VERIFICATION DATE,VERIFICATION TIME,IMPORTANT INFORMATION,,
NON-ICU,Satyawadi Raja harish hosp,,Satyawadi Raja harish hosp,Delhi,Narela,1127787304,YES,no answer as of the mentioned time. ,25/04/2021,5:07 PM,,,
NON-ICU,Mahadevpura Hospital,,Mahadevpura Hospital,Karnataka,Bangalore,8023010101,Yes,,25/04/2021,5:10 PM,No Beds Available ,,
NON-ICU,Sanjay Gandhi hosp,,,Delhi,,1125401075,yes,incorrect number,25/04/2021,5:18 PM,,,
NON-ICU,Nalhar Medical College,,,Haryana,"Nuh, Mewat",1267282007,yes,No answer as of the time mentioned ,25/04/2021,5:40 PM,,,
NON-ICU,Ahimsa dham mahavir med center,,,Delhi,Patparganj,1122239995,yes,no answer as of the time mentioned,25/04/2021,5:58 PM,,,
NON-ICU,Ambedkar hospital,,,Delhi,,9310586617,yes,switched off,25/04/2021,6:00 PM,,,
NON-ICU,Saras Hospital,4,,Bihar,Patna,,yes,,22/04/2021,4:48 PM,,,
NON-ICU,Commonwealth Satdium Campus,,,Delhi,Delhi,01123345014/15,Yes,no answer as of the time mentioned ,25/04/2021,6:04 PM,Near Akshardham Mandir,,
NON-ICU,Raman Hospital,,,Bihar,Patna,8294878472,yes,no answer as of the time mentioned ,25/04/2021,6:18 PM,,,
NON-ICU,Radha Soami Sathsang,"1000 beds availability from April 25, 2021.",,Delhi,"Bhati Mines, Chhatarpur, Qutub Minar Road","011-26654913, 011-26654917 ",yes,no answer as of the time mentioned ,25/04/2021,6:54 PM,"1000 beds availability from April 25, 2021. Need adhar card and spO2 88",,
NON-ICU,Neha of,,Kind & Care health,Delhi,Delhi,9654535285,yes,no answer as of the time mentioned ,25/04/2021,7:30 PM,,,
NON-ICU,Galaxy Hospital,2-4 normal beds,,Bihar ,Patna,9801110547,yes,switched off,25/04/2021,8:17 PM,,,
NON-ICU,,,,Maharashtra,Pune,9420696893,yes,no answer as of the time mentioned ,25/04/2021,8:24 PM,,,
NON-ICU,Tripathi Hospital,50 beds,"Tripathi Hospital,Sector 119","Uttar Pradesh",Noida,9711621081,No,Out of coverage,25/04/21,8:39 PM,,,
NON-ICU,Metro Hosp + Crystal Banquet,,,Delhi,Delhi,"011 49286666
8527222111",yes ,call was directed elsewhere,25/04/2021,8:39 PM,,,
NON-ICU,HAHC Hospital, non oxygen beds,"Guru Ravidas Marg,Block D,hamdard nagar",Delhi,Delhi,8588890999,yes,,25/04/2021,8:42 PM,Non oxygen beds,,
NON-ICU,guru gobind singh hospital ,,,bihar,Patna ,"7004067854, 7319886508",yes,out of network ,25/04/2021,8:49 PM,2 oxygen beds,,
NON-ICU,arun tanwar,,Radha swami satsang,delhi,delhi,8130791039,yes,no answer as of the time mentioned ,25/04/2021,8:50 PM,,,
NON-ICU,bimla devi hospital ,without oxygen ,,delhi,"mayur vihar, delhi",114188777,yes,no answer as of the time mentioned,25/04/2021,9:02 PM,,,
NON-ICU,kirti hospital,oxygen beds,,delhi,gurgoan,8048090676,yes,no answer as of the time mentioned,25/04/21,9:06 PM,,,
NON-ICU,arogya hospital ,oxygen beds,,delhi,greater noida,8800236062,yes,Switched off,25/04/2021,5:32 PM,,,
NON-ICU,moolchand hospital ,oxygen beds,,delhi,lajpat nagar,"9971844827,  9873234732",yes,Not picking up call,25/04/2022,5:35 PM,an extended facility at park inn radison by moolchand hospital ,,
NON-ICU,Satyawadi Raja Harishchandra,152 non oxygen beds,,Delhi,Narela,"11277870088,",yes,,24/04/2021,2:40 AM,,,
NON-ICU,Madhukar Rainbow,02  oxygenbeds ,,Delhi,Geetanjali FC- 29 5 near Malviya Nagar,"9100065913,",,,,,only for new borns,,
NON-ICU,veena hospital,10 oxygen  beds,,Maharashtra ,andheri east,8080833354,yes,,24/04/2021,11:52 AM,,,
NON-ICU,lok nayak hospital ,55 oxygen beds,,delhi,delhi,8046820570,yes,INVALID NO,24/040/2021,12:57 PM,INVAILD NO ,,
NON-ICU,,60 oxygen and non oxygen beds,rural training centre ,bihar,kishanganj,"9262699979,",yes,,24/04/2021,1:02 PM,with and without oxygen beds also few icu beds available,,
NON-ICU,GTB Hospital,Oxygen beds,,Delhi,Shahdara,8595948014/19/20/26,yes,,24/04/2021,,,,
NON-ICU,Satya Harishchand,Oxygen beds,,Delhi,Narela,011 27787008,yes,,26/04/2021,16:27,NO BEDS AVAILABLE,,
NON-ICU,guru gobind singh hospital,3 oxygen beds,,bihar,patna,7004067854,yes,,24/04/2021,4:00 PM,,,
,Anjae Gandhidam,Oxygen beds/ventilators,,Gujarat,Kutch helpline,8000977760/9727556810/,yes,,24/04/2021,4:20 PM,Needs to be checked again,,
NON-ICU,Sanjeevni Hospital,1-2 Oxygen beds ,,Bihar ,Patna ,9801110547,yes,,24/04/2021,4:40 PM,Needs to be checked again ,,
NON-ICU,Ambedkar Nagar Hospital,47 Oxygen beds ,,Delhi,Delhi,011-26052016,yes,Unreachable,26/04/2021,4:28 PM,,,
NON-ICU,Moolchand Hospital tie-up with Park Inn by Radisson,non-oxygen beds,,Delhi,lajpat nagar,"9971844827, 9873234732",yes,,24/04/2021,12:00 PM,,,
NON-ICU,Vinhams Nayati Hospital ,"Normal beds available, Oxygen beds after evening",,Delhi,lajpat nagar,"9654156941, 011-66176617",yes,,24/04/2021,12:00 PM,,,
NON-ICU,BurarI Hospital ,non-oxygen beds,,Delhi,"Kaushik Enclave, Shankarapura","011-27611215, 011-27611201",yes,,24/04/2021,12:30 PM,,,
NON-ICU,SGT Medical CLG,5 oxygen beds available ,,Delhi,"Budhera, Gurgaon",0124-2278256,yes,,24/04/2021,,,,
NON-ICU,Lord Hospital Research Centre  (converted into Hospital),,,"Rajasthan","Delhi Highway, Tijara Road, Alwar, Rajasthan",7665322200,yes,,24/04/2021,11:19 AM,,,
Non-ICU,dr baba saheb ambedkar hospital,2 non-oxygen normal bed,,delhi,rohini delhi,01127049963,yes,,24/04/2021,7:18 PM,,,
NON-ICU,ayushman care hospital,oxygen beds,,bihar,patna,9135582078 ,yes,,24/04/2021,9:50 pn,available from tomorrow (25th april) ,,
,Metro Hospital,10 oxygen/4ICU,,"Uttar Pradesh",Noida,,yes,,,,,,
NON-ICU,,69 oxygen beds,,bihar,muzzaffarpur,6287645555,yes,,25/04/2021,4:45 PM,,,
,Sheelawanti Hospital,oxygen beds/ICU,,Haryana,Panipat,9813051091,yes,,25/04/2021,8:06 PM,,,
